source_dataset,target_dataset,method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
scifact,scifact,Vanilla BM25,0.7267777777777779,0.6125555555555555,0.6352417227117545,1.0330555555555556,0.0,1.0
scifact,scifact,BM25 keyword,0.7276111111111112,0.6283888888888889,0.6460567742175334,1.0418055555555554,0.0,1.0
scifact,scifact,Dense original,0.7412777777777777,0.6014999999999999,0.6320639253373351,1.0420277777777778,0.0,1.0
scifact,scifact,Dense keyword,0.7245,0.6015555555555555,0.6293971609149004,1.025277777777778,0.0,1.0
scifact,scifact,Hybrid original,0.7624444444444444,0.6466666666666666,0.670894606783379,1.0557777777777777,0.03,2.0
scifact,scifact,Hybrid keyword,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
scifact,scifact,Target train-best action,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
scifact,scifact,Heuristic retrieval router,0.7334444444444445,0.6324444444444444,0.6511935359277055,1.0480666666666665,0.0015999999999999999,1.0533333333333332
scifact,scifact,Transferred source policy,0.7758888888888889,0.663,0.6879597847560018,1.093088888888889,0.0143,1.4766666666666666
scifact,scifact,Oracle retrieval action,0.8385,0.7358888888888888,0.7576938176937511,1.2062444444444445,0.00019999999999999998,1.0066666666666666
