claim_id,claim_type,claim,primary_dataset,metric,value,baseline,baseline_value,delta,ci_low,ci_high,calls,baseline_calls,call_delta,evidence_artifact_id,evidence_path,producer_command,presentation_use
scifact_policy_reward_gain,main_result,The learned retrieval policy improves held-out reward over the train-selected fixed retrieval action on scifact.,scifact,reward,1.090489,Train-best retrieval action,1.056778,0.033711,0.008852,0.058341,1.413333,2.0,-0.586667,scifact_bootstrap,outputs/results/scifact_bootstrap_diagnostics.csv[metric=reward],uv run python scripts/run_statistical_diagnostics.py --dataset scifact --detailed-csv outputs/results/scifact_retrieval_policy_detailed.csv --output-csv outputs/results/scifact_bootstrap_diagnostics.csv,Main result slide: policy versus fixed retrieval-action baseline.
nfcorpus_policy_reward_gain,main_result,The learned retrieval policy improves held-out reward over the train-selected fixed retrieval action on nfcorpus.,nfcorpus,reward,0.407095,Train-best retrieval action,0.377153,0.029942,0.005428,0.054799,1.0,1.0,0.0,nfcorpus_bootstrap,outputs/results/nfcorpus_bootstrap_diagnostics.csv[metric=reward],uv run python scripts/run_statistical_diagnostics.py --dataset nfcorpus --detailed-csv outputs/results/nfcorpus_retrieval_policy_detailed.csv --output-csv outputs/results/nfcorpus_bootstrap_diagnostics.csv,Main result slide: policy versus fixed retrieval-action baseline.
scifact_selected_action_baseline,bandit_baseline,The best selected-action contextual-bandit baseline for scifact separates bandit feedback difficulty from the full-information direct-method policy.,scifact,reward,1.062139,Train-best retrieval action,1.056778,0.005361,,,1.033333,2.0,-0.966667,scifact_linucb_baseline_summary,outputs/results/scifact_linucb_baseline_summary.csv[Linear Thompson retrieval policy],uv run python scripts/run_bandit_baselines.py --dataset scifact --num-train-examples 600 --num-test-examples 300 --seed 42 --full-corpus --alpha 1.0 --epsilon 0.1 --posterior-scale 1.0,RL framing slide: compact selected-action contextual bandit baseline.
nfcorpus_selected_action_baseline,bandit_baseline,The best selected-action contextual-bandit baseline for nfcorpus separates bandit feedback difficulty from the full-information direct-method policy.,nfcorpus,reward,0.404025,Train-best retrieval action,0.377153,0.026873,,,1.136667,1.0,0.136667,nfcorpus_linucb_baseline_summary,outputs/results/nfcorpus_linucb_baseline_summary.csv[Linear Thompson retrieval policy],uv run python scripts/run_bandit_baselines.py --dataset nfcorpus --num-train-examples 600 --num-test-examples 300 --seed 42 --full-corpus --alpha 1.0 --epsilon 0.1 --posterior-scale 1.0,RL framing slide: compact selected-action contextual bandit baseline.
scifact_bandit_replay_feedback_gap,bandit_replay,The scifact replay diagnostic separates selected-action bandit feedback from full-information direct-method policy learning by comparing cumulative regret.,scifact,final_cumulative_regret,82.08,Full-information direct method,67.426667,14.653333,,,0.17,0.236667,-0.066667,scifact_bandit_replay_summary,outputs/results/scifact_bandit_replay_summary.csv[LinUCB selected-action replay],uv run python scripts/run_bandit_replay_diagnostics.py --dataset scifact --detailed-csv outputs/results/scifact_retrieval_policy_detailed.csv --output-dir outputs --split train --seed 42 --moving-average-window 50,RL framing slide: selected-action replay regret versus full-information direct method.
nfcorpus_bandit_replay_feedback_gap,bandit_replay,The nfcorpus replay diagnostic separates selected-action bandit feedback from full-information direct-method policy learning by comparing cumulative regret.,nfcorpus,final_cumulative_regret,43.20158,Full-information direct method,29.617121,13.58446,,,0.161667,0.285,-0.123333,nfcorpus_bandit_replay_summary,outputs/results/nfcorpus_bandit_replay_summary.csv[LinUCB selected-action replay],uv run python scripts/run_bandit_replay_diagnostics.py --dataset nfcorpus --detailed-csv outputs/results/nfcorpus_retrieval_policy_detailed.csv --output-dir outputs --split train --seed 42 --moving-average-window 50,RL framing slide: selected-action replay regret versus full-information direct method.
scifact_constrained_bootstrap_gain,constrained_bandit,The constrained policy keeps a positive paired-bootstrap utility gain on scifact at retrieval-call penalty lambda=0.03.,scifact,utility_delta,0.04735,Train-best retrieval action,1.042028,0.04735,0.014315,0.082247,1.273333,1.0,0.273333,scifact_constrained_policy_bootstrap,outputs/results/scifact_constrained_policy_bootstrap.csv[call_penalty=0.03],"uv run python scripts/run_constrained_policy_bootstrap.py --dataset scifact --detailed-csv outputs/results/scifact_retrieval_policy_detailed.csv --output-csv outputs/results/scifact_constrained_policy_bootstrap.csv --call-penalties 0,0.01,0.03,0.06,0.1,0.2 --bootstrap-samples 1000 --seed 42",Budget/constrained RL slide: utility gain with uncertainty interval.
nfcorpus_constrained_bootstrap_gain,constrained_bandit,The constrained policy keeps a positive paired-bootstrap utility gain on nfcorpus at retrieval-call penalty lambda=0.03.,nfcorpus,utility_delta,0.032656,Train-best retrieval action,0.377153,0.032656,0.010587,0.058431,1.0,1.0,0.0,nfcorpus_constrained_policy_bootstrap,outputs/results/nfcorpus_constrained_policy_bootstrap.csv[call_penalty=0.03],"uv run python scripts/run_constrained_policy_bootstrap.py --dataset nfcorpus --detailed-csv outputs/results/nfcorpus_retrieval_policy_detailed.csv --output-csv outputs/results/nfcorpus_constrained_policy_bootstrap.csv --call-penalties 0,0.01,0.03,0.06,0.1,0.2 --bootstrap-samples 1000 --seed 42",Budget/constrained RL slide: utility gain with uncertainty interval.
scifact_ope_ips_coverage_warning,off_policy_evaluation,IPS OPE becomes much less reliable on scifact when the behavior policy has poor coverage of the learned policy actions.,scifact,mean_absolute_error,0.267959,Uniform behavior IPS,0.127173,0.140786,,,13.401818,49.8,-36.398182,scifact_ope_stability,outputs/results/scifact_ope_stability.csv[train_best_eps_0.2/Selective/IPS],"uv run python scripts/run_ope_stability.py --dataset scifact --detailed-csv outputs/results/scifact_retrieval_policy_detailed.csv --output-csv outputs/results/scifact_ope_stability.csv --seeds 1,2,3,4,5,6,7,8,9,10",OPE slide: why logging coverage matters in offline contextual bandits.
nfcorpus_ope_dr_stability,off_policy_evaluation,Doubly robust OPE is a useful diagnostic on nfcorpus because it reduces uniform-log absolute error relative to the direct-method estimate.,nfcorpus,mean_absolute_error,0.038419,Direct method,0.05215,-0.013732,,,51.5,51.5,0.0,nfcorpus_ope_stability,outputs/results/nfcorpus_ope_stability.csv[uniform/Selective/doubly_robust],"uv run python scripts/run_ope_stability.py --dataset nfcorpus --detailed-csv outputs/results/nfcorpus_retrieval_policy_detailed.csv --output-csv outputs/results/nfcorpus_ope_stability.csv --seeds 1,2,3,4,5,6,7,8,9,10",OPE slide: estimator comparison under repeated logging simulations.
