dataset,group,target,start,end,width,active_columns,alpha,train_rows,test_rows,train_r2,test_r2,test_corr,target_train_std,target_test_std
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,20,20,0.0,-0.026932465185435905,0.0,0.3570654256429753,0.28502982755040546
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,20,20,0.0,-0.011617631379398974,0.0,0.03417892633756054,0.054198887390193816
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.2670379482669907,0.0,0.42632156341760874,0.49914449089974405
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.1436114477243582,0.0,0.17459252531692304,0.17031719435977385
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,20,20,0.189621354971499,-0.07978816284702117,0.027616895184206933,0.3570654256429753,0.28502982755040546
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,20,20,0.1351108077998162,-0.003964926013060532,0.12668833028721144,0.03417892633756054,0.054198887390193816
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.038331202926409014,-0.25772002405420813,0.1792202578913587,0.42632156341760874,0.49914449089974405
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.005766506814106065,-0.14099522342803628,0.11374738510866234,0.17459252531692304,0.17031719435977385
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,20,20,0.3196655050711673,-0.15424310759540338,0.16180477816099356,0.3570654256429753,0.28502982755040546
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,20,20,0.12485071417095439,-0.12541043601431223,-0.49057592263184985,0.03417892633756054,0.054198887390193816
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.10624347862392314,-0.052350037897243906,0.5512680622404068,0.42632156341760874,0.49914449089974405
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.07658348000749537,0.010219847786919645,0.44329174318137315,0.17459252531692304,0.17031719435977385
nfcorpus,wh_word,oracle_reward,6,14,8,5,1.0,20,20,0.10574144575401645,-0.040147091080012576,0.12514040980190957,0.3570654256429753,0.28502982755040546
nfcorpus,wh_word,oracle_margin,6,14,8,5,1.0,20,20,0.02749488054412852,-0.015914213864095084,0.0020080111281622686,0.03417892633756054,0.054198887390193816
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.06929808509653312,-0.32668974706453424,-0.13108665747824338,0.42632156341760874,0.49914449089974405
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.03765622783015965,-0.23351866797499432,-0.20739851360970837,0.17459252531692304,0.17031719435977385
nfcorpus,retrieval_contrast,oracle_reward,14,22,8,8,1.0,20,20,0.07992803518754199,-0.0739334218053267,0.019120819578025722,0.3570654256429753,0.28502982755040546
nfcorpus,retrieval_contrast,oracle_margin,14,22,8,8,1.0,20,20,0.10496326671197498,-0.0069424737519783175,0.05413480783178181,0.03417892633756054,0.054198887390193816
nfcorpus,retrieval_contrast,dense_advantage_vs_bm25,14,22,8,8,1.0,20,20,0.032547175901051606,-0.2839246831065163,-0.16232508806545518,0.42632156341760874,0.49914449089974405
nfcorpus,retrieval_contrast,hybrid_advantage_vs_bm25,14,22,8,8,1.0,20,20,0.029956588476036328,-0.18355077204475534,-0.35027528719310325,0.17459252531692304,0.17031719435977385
