dataset,split,group,start,end,width,mean_abs,std_mean,nonzero_rate,active_columns,low_variance_columns
nfcorpus,train,bias,0,1,1,1.0,0.0,1.0,1,1
nfcorpus,train,query_form,1,3,2,0.15583333333333335,0.1352888043620863,0.8,2,0
nfcorpus,train,retrieval_confidence,3,6,3,0.3280036036256337,0.2749386215320209,0.9,3,0
nfcorpus,train,wh_word,6,14,8,0.125,0.1589724735885168,0.125,5,3
nfcorpus,train,retrieval_contrast,14,22,8,0.45375,0.10138295657130209,0.81875,8,0
nfcorpus,test,bias,0,1,1,1.0,0.0,1.0,1,1
nfcorpus,test,query_form,1,3,2,0.16666666666666669,0.12653739666665287,0.85,2,0
nfcorpus,test,retrieval_confidence,3,6,3,0.31184121843876506,0.19675303449915926,0.9,3,0
nfcorpus,test,wh_word,6,14,8,0.125,0.1263632828697804,0.125,4,4
nfcorpus,test,retrieval_contrast,14,22,8,0.45999999999999996,0.10573692545074344,0.8125,8,0
