dataset,feature_set,train_size,test_size,selected_policy_model,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,selective_retrieval_calls
nfcorpus,full,50,50,ridge_l2=1.0,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.1
nfcorpus,no_semantic,50,50,ridge_l2=1.0,0.42903748189344576,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.0
nfcorpus,no_profile,50,50,ridge_l2=1.0,0.39350701741257155,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.08
nfcorpus,profile_only,50,50,ridge_l2=1.0,0.40697865836403396,0.40697865836403396,0.48795180032505653,0.1483119916973674,0.1483119916973674,1.0
nfcorpus,no_rank_agreement,50,50,ridge_l2=1.0,0.4217708152267791,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.02
nfcorpus,rank_agreement_only,50,50,ridge_l2=1.0,0.35460652721649294,0.40697865836403396,0.48795180032505653,0.12930652721649308,0.1483119916973674,1.14
nfcorpus,no_projection,50,50,ridge_l2=1.0,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.1
nfcorpus,projection_only,50,50,ridge_l2=1.0,0.40697865836403396,0.40697865836403396,0.48795180032505653,0.1483119916973674,0.1483119916973674,1.0
nfcorpus,no_interactions,50,50,ridge_l2=1.0,0.3864403507459048,0.40697865836403396,0.48795180032505653,0.14800701741257152,0.1483119916973674,1.08
nfcorpus,semantic_only,50,50,ridge_l2=1.0,0.36788623265598114,0.40697865836403396,0.48795180032505653,0.13851956598931445,0.1483119916973674,1.16
nfcorpus,interactions_only,50,50,ridge_l2=1.0,0.39986262220228086,0.40697865836403396,0.48795180032505653,0.14119595553561426,0.1483119916973674,1.0
